url_name,id,item_name,thumb,vaulted
aquapulmo,6054de645221e3005750106e,Aquapulmo,items/images/en/thumbs/aquapulmo.614ee00bc189bf6e8188792cddcf15e3.128x128.png,False
arbiters_of_hexis_augment_mod,5800c6c9c021d9dc0a9f8919,Arbiters of Hexis Augment Mod,items/images/en/thumbs/arbiters_of_hexis_augment_mod.38563d25ba847d3ea93c73e71bf1f2b5.128x128.png,False
arc_coil,5615432bb66f8371035bfa25,Arc Coil,items/images/en/thumbs/arc_coil.0df8ece91fb4defa7ce30c1990cbe862.128x128.png,False
arcane_acceleration,5510858ae779897288827a4b,Arcane Acceleration,items/images/en/thumbs/arcane_acceleration.452ae9fb49a9a6f7a1207133be620b42.128x128.png,False
arcane_aegis,566750375dcbc186f0536bce,Arcane Aegis,items/images/en/thumbs/arcane_aegis.05226d37b29123fba267f5f131a9dcd8.128x128.png,False
arcane_agility,55108594e77989728d5100c6,Arcane Agility,items/images/en/thumbs/arcane_agility.2274fd115d389b990a55f5a4ff864773.128x128.png,False
arcane_arachne,566750e45dcbc186f0536bcf,Arcane Arachne,items/images/en/thumbs/arcane_arachne.6e3fe6374d5b710e6e55ccc70b395bc8.128x128.png,False
arcane_aura_trinity_helmet,54aaf1eee779890a8654131d,Arcane Aura Helmet,items/images/en/thumbs/arcane_aura_trinity_helmet.d2b86ccdef9653830055ab389ef0d577.128x128.png,False
arcane_aurora_frost_helmet,54aaf182e77989468dbe1add,Arcane Aurora Helmet,items/images/en/thumbs/arcane_aurora_frost_helmet.9e1e1c4ce3bb5f13f9ca125a7d90c51f.128x128.png,False
arcane_avalon_excalibur_helmet,54aaf1d2e77989786a5f748b,Arcane Avalon Helmet,items/images/en/thumbs/arcane_avalon_excalibur_helmet.6402c0034a70874b863f42099eb9b3a1.128x128.png,False
arcane_avenger,5510859ce779897292ba1efc,Arcane Avenger,items/images/en/thumbs/arcane_avenger.181b3606583aa0b904a1ebf0b6864e82.128x128.png,False
arcane_awakening,551085a6e77989729ab10a35,Arcane Awakening,items/images/en/thumbs/arcane_awakening.5d194d91360b233f4226fd02af5d7d1d.128x128.png,False
arcane_backdraft_ember_helmet,54aaf312e779893b99bd67bd,Arcane Backdraft Helmet,items/images/en/thumbs/arcane_backdraft_ember_helmet.043ac2179a516fbb8f39e1da426f6855.128x128.png,False
arcane_barrier,551085aee77989729e1416d0,Arcane Barrier,items/images/en/thumbs/arcane_barrier.c4b3b25fcc9c874a4bfc0f8998b9f5bd.128x128.png,False
arcane_blade_charger,5d8765de7ea27b08950c13c4,Arcane Blade Charger,items/images/en/thumbs/arcane_blade_charger.bedeb0f2ceb9e91f99f682b990c09648.128x128.png,False
arcane_blessing,63886517e7c988007b5bd512,Arcane Blessing,items/images/en/thumbs/arcane_blessing.aec88d7b4b3482f59c6c1a3b87185042.128x128.png,False
arcane_bodyguard,5d8765de7ea27b08950c13b8,Arcane Bodyguard,items/images/en/thumbs/arcane_bodyguard.bedeb0f2ceb9e91f99f682b990c09648.128x128.png,False
